prplRqstNo,instRcptSn
1AB-2509-0015351,201099174
1AB-2509-0015350,201099173
1AB-2509-0015349,201099172
1AB-2509-0015348,201099171
1AB-2509-0015347,201099170
1AB-2509-0015346,201099169
1AB-2509-0015345,201099168
1AB-2509-0015344,201099167
1AB-2509-0015343,201099166
1AB-2509-0015342,201099165
1AB-2509-0015341,201099164
1AB-2509-0015339,201099162
1AB-2509-0015338,201099161
1AB-2509-0015337,201099160
1AB-2509-0015336,201099159
1AB-2509-0015335,201099158
1AB-2509-0015334,201099157
1AB-2509-0015333,201099156
1AB-2509-0015332,201099155
1AB-2509-0015323,201099145
1AB-2509-0015298,201099125
1AB-2509-0015299,201099123
1AB-2509-0015295,201099120
1AB-2509-0015285,201099117
1AB-2509-0015282,201099106
1AB-2509-0015278,201099101
1AB-2509-0015267,201099096
1AB-2509-0015265,201099094
1AB-2509-0015235,201099092
1AB-2509-0015195,201099076
1AB-2509-0015143,201099017
1AB-2509-0015159,201099011
1AB-2509-0015140,201098987
1AB-2509-0015133,201098979
1AB-2509-0015130,201098978
1AB-2509-0015097,201098966
1AB-2509-0015111,201098964
1AB-2509-0015110,201098959
1AB-2509-0015091,201098954
1AB-2509-0015038,201098928
1AB-2509-0015036,201098925
1AB-2509-0015025,201098894
1AB-2509-0015004,201098886
1AB-2509-0015012,201098885
1AB-2509-0014996,201098877
1AB-2509-0014987,201098872
1AB-2509-0014972,201098868
1AB-2509-0014979,201098867
1AB-2509-0014973,201098865
1AB-2509-0014969,201098821
1AB-2509-0014950,201098807
1AB-2509-0014942,201098719
1AB-2509-0014941,201098718
1AB-2509-0014905,201098714
1AB-2509-0014909,201098711
1AB-2509-0014928,201098709
1AB-2509-0014927,201098707
1AB-2509-0014925,201098703
1AB-2509-0014888,201098673
1AB-2509-0014879,201098674
1AB-2509-0014881,201098672
1AB-2509-0014853,201098654
1AB-2509-0014827,201098634
1AB-2509-0014816,201098617
1AB-2509-0014687,201098607
1AB-2509-0014789,201098598
1AB-2509-0014778,201098596
1AB-2509-0014739,201098588
1AB-2509-0014762,201098569
1AB-2509-0014743,201098532
1AB-2509-0014725,201098526
1AB-2509-0014653,201098509
1AB-2509-0014658,201098500
1AB-2509-0014714,201098499
1AB-2509-0014707,201098498
1AB-2509-0014704,201098496
1AB-2509-0014646,201098494
1AB-2509-0014698,201098492
1AB-2509-0014688,201098556
1AB-2509-0014688,201098491
1AB-2509-0014648,201098483
1AB-2509-0014639,201098441
1AB-2509-0014654,201098440
1AB-2509-0014645,201098437
1AB-2509-0014652,201098436
1AB-2509-0014642,201098434
1AB-2509-0014641,201098432
1AB-2509-0014631,201098429
1AB-2509-0014630,201098428
1AB-2509-0014624,201098425
1AB-2509-0014626,201098424
1AB-2509-0014623,201098423
1AB-2509-0014609,201098413
1AB-2509-0014597,201098403
1AB-2509-0014597,201098557
1AB-2509-0014599,201098402
1AB-2509-0014592,201098399
1AB-2509-0014586,201098390
1AB-2509-0014577,201098386
1AB-2509-0014567,201098383
1AB-2509-0014575,201098382
1AB-2509-0014564,201098377
1AB-2509-0014549,201098372
1AB-2509-0014554,201098371
1AB-2509-0014530,201098359
1AB-2509-0014518,201098354
1AB-2509-0014521,201098353
1AB-2509-0014510,201098352
1AB-2509-0014498,201098341
1AB-2509-0014498,201098555
1AB-2509-0014498,201098554
1AB-2509-0014494,201098337
1AB-2509-0014484,201098333
1AB-2509-0014469,201098318
1AB-2509-0014474,201098317
1AB-2509-0014470,201098315
1AB-2509-0014436,201098308
1AB-2509-0014401,201098307
1AB-2509-0014412,201098200
1AB-2509-0014390,201098185
1AB-2509-0014389,201098184
1AB-2509-0014387,201098183
1AB-2509-0014370,201098168
1AB-2509-0014357,201098162
1AB-2509-0014325,201098141
1AB-2509-0014306,201098113
1AB-2509-0014256,201098071
1AB-2509-0014248,201098067
1AB-2509-0014172,201098002
1AB-2509-0014142,201097973
1AB-2509-0014149,201097966
1AB-2509-0014118,201097946
1AB-2509-0014079,201097916
1AB-2509-0014078,201097910
1AB-2509-0014073,201097909
1AB-2509-0014052,201097852
1AB-2509-0014025,201097827
1AB-2509-0014020,201097826
1AB-2509-0014018,201097824
1AB-2509-0014019,201097823
1AB-2509-0014016,201097822
1AB-2509-0013981,201097792
1AB-2509-0013895,201097701
1AB-2509-0013893,201097700
1AB-2509-0013891,201097699
1AB-2509-0013891,201100042
1AB-2509-0013890,201097697
1AB-2509-0013887,201097695
1AB-2509-0013878,201097688
1AB-2509-0013860,201097682
1AB-2509-0013855,201097676
1AB-2509-0013843,201097665
1AB-2509-0013835,201097664
1AB-2509-0013839,201097662
1AB-2509-0013819,201097632
1AB-2509-0013805,201097631
1AB-2509-0013814,201097628
1AB-2509-0013787,201097617
1AB-2509-0013795,201097616
1AB-2509-0013771,201097612
1AB-2509-0013789,201097611
1AB-2509-0013778,201097605
1AB-2509-0013779,201097581
1AB-2509-0013754,201097572
1AB-2509-0013766,201097571
1AB-2509-0013750,201097562
1AB-2509-0013741,201097539
1AB-2509-0013740,201097531
1AB-2509-0013729,201097529
1AB-2509-0013725,201097551
1AB-2509-0013725,201097552
1AB-2509-0013725,201097554
1AB-2509-0013725,201097556
1AB-2509-0013725,201097557
1AB-2509-0013725,201097558
1AB-2509-0013725,201097527
1AB-2509-0013725,201097544
1AB-2509-0013725,201097545
1AB-2509-0013725,201097546
1AB-2509-0013725,201097547
1AB-2509-0013725,201097548
1AB-2509-0013725,201097549
1AB-2509-0013725,201097550
1AB-2509-0013688,201097526
1AB-2509-0013730,201097525
1AB-2509-0013716,201097514
1AB-2509-0013715,201097510
1AB-2509-0013701,201097503
1AB-2509-0013681,201097894
1AB-2509-0013681,201097491
1AB-2509-0013690,201097490
1AB-2509-0013680,201097487
1AB-2509-0013670,201097460
1AB-2509-0013649,201097459
1AB-2509-0013665,201097455
1AB-2509-0013660,201097452
1AB-2509-0013635,201097448
1AB-2509-0013604,201097446
1AB-2509-0013647,201097439
1AB-2509-0013594,201097432
1AB-2509-0013613,201097429
1AB-2509-0013622,201097399
1AB-2509-0013607,201097394
1AB-2509-0013603,201097393
1AB-2509-0013611,201097392
1AB-2509-0013605,201097390
